st2,stplc2,popden90,pov12590,Time1,Time2,Time3,Time4,cpden90,cpv12590,State,Poverty
36,3649891,0.736759424,18.70784187,5.692768097,5.871454239,6.008151531,5.972404957,-0.152988576,4.552636373,0,0
36,3650034,2.672391176,32.86991882,6.280978203,6.590031147,6.750183105,6.978018284,1.782643176,18.71471332,0,0
36,3650045,0.212549031,4.984044552,6.004937172,5.959323883,6.047591209,6.02381134,-0.677198969,-9.171160948,0,0
36,3650078,0.277707338,5.431232452,4.251831532,4.464791298,4.702143669,4.684042931,-0.612040662,-8.723973048,0,0
36,3650309,0.329059243,7.224134445,5.803390503,5.961604118,6.006520748,6.210353851,-0.560688757,-6.931071055,0,0
36,3650562,0.129366457,16.74549484,4.861663818,5.51247406,5.576116562,5.506802082,-0.760381543,2.590289343,0,0
36,3650617,2.50932622,9.844567299,5.752644062,5.677069664,5.809235573,5.851133823,1.61957822,-4.310638201,0,0
36,3650848,0.254944563,7.318907738,5.43806839,5.671521664,5.244057178,5.5110116,-0.634803437,-6.836297762,0,0
36,3651000,9.151260376,23.76852989,6.370605469,6.426103592,6.469451904,6.461320877,8.261512376,9.613324392,0,0
36,3651011,1.19918561,14.19612312,5.180500984,5.414254189,5.480722427,5.884797573,0.30943761,0.040917623,0,0
36,3651033,0.40603295,12.85453796,5.819809437,5.582753181,5.716347694,5.805814266,-0.48371505,-1.300667536,0,0
36,3651055,1.699227929,24.34728432,6.591607094,6.734898567,6.787469864,6.713886261,0.809479929,10.19207882,0,0
36,3651264,0.521163344,3.76300621,5.397162437,5.402088642,5.453357697,5.696155071,-0.368584656,-10.39219929,0,0
36,3651693,0.161272734,4.264456272,4.600770473,4.808995247,5.454714775,5.427986622,-0.728475266,-9.890749228,0,0
36,3652100,0.221808106,4.518101215,5.325199127,4.980575562,5.613212109,5.708742619,-0.667939894,-9.637104285,0,0
36,3653396,1.26410687,3.582844973,5.447027206,5.10854435,5.362697601,5.290649891,0.37435887,-10.57236053,0,0
36,3653660,1.448554039,9.047358513,5.561673641,5.53059864,5.266469002,5.682191372,0.558806039,-5.107846987,0,0
36,3653671,1.387338281,11.09880638,4.660070896,4.318207741,4.818005562,4.881319523,0.497590281,-3.056399119,0,0
36,3653682,1.337602258,9.209657669,4.947318077,5.290864944,5.556521416,5.750403881,0.447854258,-4.945547831,0,0
